x,y,z
-3.23166e+07,83649,1.37135e+08
-3.41165e+07,84476.4,1.38699e+08
-3.59363e+07,85289.6,1.4024e+08
-3.77757e+07,86088.6,1.41758e+08
-3.96343e+07,86873,1.43252e+08
-4.15119e+07,87642.9,1.44722e+08
-4.3408e+07,88398.1,1.46168e+08
-4.53225e+07,89138.5,1.47589e+08
-4.72549e+07,89864,1.48986e+08
-4.92049e+07,90574.4,1.50357e+08
-5.11721e+07,91269.6,1.51704e+08
-5.31563e+07,91949.5,1.53025e+08
-5.51571e+07,92614.1,1.5432e+08
-5.71741e+07,93263.2,1.5559e+08
-5.9207e+07,93896.7,1.56834e+08
-6.12555e+07,94514.5,1.58052e+08
-6.33191e+07,95116.6,1.59243e+08
-6.53976e+07,95702.7,1.60408e+08
-6.74905e+07,96273,1.61546e+08
-6.95976e+07,96827.1,1.62657e+08
-7.17184e+07,97365.2,1.63741e+08
-7.38526e+07,97887.1,1.64798e+08
-7.59998e+07,98392.7,1.65828e+08
-7.81596e+07,98881.9,1.6683e+08
-8.03318e+07,99354.7,1.67804e+08
-8.25158e+07,99811,1.68751e+08
-8.47114e+07,100251,1.69669e+08
-8.69181e+07,100674,1.7056e+08
-8.91357e+07,101080,1.71422e+08
-9.13636e+07,101470,1.72256e+08
-9.36016e+07,101843,1.73062e+08
-9.58492e+07,102199,1.73839e+08
-9.81061e+07,102539,1.74587e+08
-1.00372e+08,102861,1.75307e+08
-1.02646e+08,103167,1.75997e+08
-1.04929e+08,103455,1.76659e+08
-1.07219e+08,103727,1.77292e+08
-1.09516e+08,103981,1.77896e+08
-1.11821e+08,104218,1.7847e+08
-1.14132e+08,104439,1.79015e+08
-1.16449e+08,104642,1.79531e+08
-1.18772e+08,104828,1.80018e+08
-1.21101e+08,104997,1.80475e+08
-1.23434e+08,105149,1.80903e+08
-1.25773e+08,105283,1.81301e+08
-1.28115e+08,105401,1.8167e+08
-1.30462e+08,105501,1.82009e+08
-1.32811e+08,105584,1.82319e+08
-1.35164e+08,105650,1.82599e+08
-1.3752e+08,105699,1.8285e+08
-1.39878e+08,105731,1.8307e+08
-1.42238e+08,105745,1.83262e+08
-1.446e+08,105743,1.83423e+08
-1.46963e+08,105723,1.83555e+08
-1.49326e+08,105687,1.83658e+08
-1.5169e+08,105633,1.83731e+08
-1.54054e+08,105562,1.83774e+08
-1.56418e+08,105475,1.83788e+08
-1.58781e+08,105370,1.83772e+08
-1.61143e+08,105249,1.83727e+08
-1.63503e+08,105110,1.83653e+08
-1.65862e+08,104955,1.83549e+08
-1.68218e+08,104783,1.83416e+08
-1.70572e+08,104595,1.83253e+08
-1.72923e+08,104389,1.83062e+08
-1.7527e+08,104168,1.82841e+08
-1.77614e+08,103929,1.82592e+08
-1.79954e+08,103674,1.82313e+08
-1.82289e+08,103403,1.82006e+08
-1.8462e+08,103115,1.81669e+08
-1.86945e+08,102811,1.81304e+08
-1.89265e+08,102491,1.80911e+08
-1.91579e+08,102154,1.80489e+08
-1.93887e+08,101802,1.80039e+08
-1.96188e+08,101433,1.7956e+08
-1.98482e+08,101049,1.79053e+08
-2.00769e+08,100649,1.78518e+08
-2.03048e+08,100233,1.77956e+08
-2.0532e+08,99801.1,1.77365e+08
-2.07583e+08,99353.9,1.76747e+08
-2.09837e+08,98891.2,1.76101e+08
-2.12083e+08,98413.1,1.75428e+08
-2.14319e+08,97919.8,1.74728e+08
-2.16545e+08,97411.2,1.74001e+08
-2.18762e+08,96887.6,1.73247e+08
-2.20968e+08,96349,1.72466e+08
-2.23164e+08,95795.5,1.71658e+08
-2.25349e+08,95227.2,1.70824e+08
-2.27522e+08,94644.3,1.69964e+08
-2.29684e+08,94046.9,1.69078e+08
-2.31834e+08,93435,1.68165e+08
-2.33972e+08,92808.8,1.67227e+08
-2.36097e+08,92168.4,1.66264e+08
-2.3821e+08,91513.9,1.65275e+08
-2.40309e+08,90845.5,1.64261e+08
-2.42395e+08,90163.3,1.63222e+08
-2.44468e+08,89467.3,1.62158e+08
-2.46526e+08,88757.8,1.6107e+08
-2.4857e+08,88034.8,1.59957e+08
-2.506e+08,87298.6,1.5882e+08
-2.52614e+08,86549.1,1.57659e+08
-2.54614e+08,85786.6,1.56475e+08
-2.56598e+08,85011.2,1.55266e+08
-2.58567e+08,84223,1.54035e+08
-2.6052e+08,83422.1,1.52781e+08
-2.62456e+08,82608.8,1.51503e+08
-2.64377e+08,81783.1,1.50203e+08
-2.6628e+08,80945.2,1.48881e+08
-2.68167e+08,80095.3,1.47536e+08
-2.70036e+08,79233.4,1.4617e+08
-2.71888e+08,78359.8,1.44782e+08
-2.73722e+08,77474.5,1.43372e+08
-2.75539e+08,76577.8,1.41942e+08
-2.77337e+08,75669.7,1.4049e+08
-2.79117e+08,74750.5,1.39017e+08
-2.80878e+08,73820.3,1.37525e+08
-2.82621e+08,72879.2,1.36012e+08
-2.84344e+08,71927.4,1.34479e+08
-2.86048e+08,70965,1.32926e+08
-2.87733e+08,69992.3,1.31354e+08
-2.89398e+08,69009.3,1.29763e+08
-2.91043e+08,68016.3,1.28152e+08
-2.92668e+08,67013.3,1.26524e+08
-2.94273e+08,66000.6,1.24877e+08
-2.95858e+08,64978.3,1.23211e+08
-2.97421e+08,63946.6,1.21528e+08
-2.98964e+08,62905.7,1.19828e+08
-3.00486e+08,61855.6,1.1811e+08
-3.01987e+08,60796.6,1.16375e+08
-3.03466e+08,59728.9,1.14623e+08
-3.04924e+08,58652.6,1.12855e+08
-3.0636e+08,57567.8,1.11071e+08
-3.07774e+08,56474.8,1.09271e+08
-3.09166e+08,55373.7,1.07455e+08
-3.10536e+08,54264.6,1.05624e+08
-3.11884e+08,53147.9,1.03778e+08
-3.13209e+08,52023.5,1.01917e+08
-3.14511e+08,50891.7,1.00042e+08
